Date/Time,Word Count,ca,en,en-US,es,fr,it,it-IT,pt,ru,zh
2020.06.06-16.37.07,0,0,0,0,0,0,0,0,0,0,0
2020.06.06-18.25.11,29868,0,29868,0,0,0,0,0,0,0,0
2020.06.06-20.18.23,29868,0,29868,0,0,0,0,26,0,0,0
2020.06.07-19.21.31,18079,0,18079,0,0,0,0,30,0,0,0
2020.06.08-11.18.17,18079,0,18079,0,0,0,0,14623,0,0,0
2020.06.08-11.29.30,18091,0,18091,0,0,0,0,14623,0,0,0
2020.06.08-11.35.24,18091,0,18091,0,0,0,0,14635,0,0,0
2020.06.08-12.14.29,18041,0,18041,0,0,0,0,14497,0,0,0
2020.06.08-12.28.12,18041,0,18041,0,0,0,0,14621,0,0,0
2020.06.08-13.43.42,17364,0,17364,0,0,0,0,13705,0,0,0
2020.06.08-14.12.45,17364,0,17364,0,0,0,0,14035,0,0,0
2020.06.09-12.58.58,17058,0,17058,0,0,0,0,13959,0,0,0
2020.06.09-13.25.30,15721,0,15721,0,20,0,0,13926,0,0,0
2020.06.09-16.43.59,15721,0,15721,0,13912,0,0,13926,0,0,0
2020.06.09-17.34.26,15721,0,15721,0,13934,0,0,13926,0,0,0
2020.06.10-11.05.16,15527,0,15527,0,13929,0,0,13923,0,0,0
2020.06.10-15.39.18,15527,0,15527,0,13929,0,0,13923,13940,0,0
2020.06.10-21.05.21,15527,0,15527,0,13929,0,13923,13923,13940,6,0
2020.06.11-13.17.37,15527,0,15527,0,13929,0,13923,13923,13940,11,0
2020.06.12-14.21.36,15527,0,15527,0,13929,0,13923,13923,13940,13939,0
2020.06.13-13.20.34,15536,0,15536,0,13929,0,13923,13923,13940,13939,0
2020.06.13-13.46.26,15536,0,15536,0,13938,0,13936,13923,13949,13948,0
2020.06.24-13.17.34,16083,0,16083,0,13935,0,13933,13920,13946,13945,0
2020.06.24-22.33.42,16083,0,16083,0,14469,0,14472,13920,14485,14484,0
2020.06.25-17.25.18,16083,0,16083,0,14469,0,14472,13920,14485,14485,0
2020.06.25-18.21.08,16083,0,16083,0,14454,0,14457,13905,14470,14470,0
2020.06.25-18.39.59,16083,0,16083,0,14454,0,14457,13905,14470,14470,2
2020.06.25-20.03.26,16083,0,16083,0,14454,0,14457,13905,14470,14470,24
2020.06.26-16.22.06,16083,0,16083,0,14454,0,14457,13905,14470,14470,14556
2020.07.24-15.12.33,16173,0,16173,0,14403,0,14406,13854,14419,14419,14505
2020.07.24-15.43.49,16173,0,16173,0,14451,0,14460,13854,14473,14473,14559
2020.08.22-12.40.35,16195,0,16195,0,14451,0,14460,13854,14473,14473,14559
2020.08.22-14.01.12,16195,0,16195,0,14466,0,14493,13854,14505,14495,14591
2020.08.22-14.12.12,16215,0,16215,0,14386,0,14413,13774,14425,14415,14511
2020.08.23-13.14.57,16222,0,16222,0,14516,0,14525,13765,14537,14527,14623
2020.08.23-14.17.34,16222,0,16222,0,14554,0,14566,13765,14575,14576,14639
2020.08.24-18.52.31,16223,0,16223,0,14554,0,14566,13765,14575,14576,14639
2020.08.24-22.03.54,16223,0,16223,0,14555,0,14567,13765,14576,14577,14640
2020.08.29-17.45.18,16978,0,16978,0,14555,0,14567,13765,14576,14577,14640
2020.08.29-18.18.49,16979,0,16979,0,14555,0,14700,13765,14576,14577,14640
2020.08.29-22.11.39,16979,0,16979,0,15324,0,15331,13765,15344,15346,15416
2020.09.01-09.47.26,16979,0,16979,0,15330,0,15331,13765,15344,15346,15416
2020.09.01-16.12.08,16981,0,16981,0,15330,0,15331,13765,15344,15346,15416
2020.09.01-16.32.47,16981,4,16981,0,15330,0,15331,13765,15344,15346,15416
2020.09.01-19.16.32,16981,15331,16981,0,15330,0,15331,13765,15344,15346,15416
2020.09.01-19.58.31,16983,15331,16983,0,15330,0,15331,13765,15344,15346,15416
2020.09.05-17.39.40,16984,15333,16984,0,15332,0,15333,13765,15346,15348,15418
2020.09.08-19.02.31,17009,15333,17009,0,15332,0,15333,13765,15346,15348,15418
2020.09.08-19.28.08,17009,15340,17009,0,15339,0,15340,13765,15353,15355,15425
2020.09.10-19.13.39,17009,15340,17009,0,15344,0,15340,13765,15353,15355,15425
2020.09.16-19.57.53,17067,15293,17067,0,15298,0,15293,13718,15306,15309,15381
2020.09.16-21.04.58,17067,15341,17067,0,15359,0,15335,13718,15348,15352,15421
2020.09.17-22.27.07,17067,15354,17067,0,15373,0,15348,13718,15363,15366,15435
2020.09.18-10.33.57,17069,15354,17069,0,15373,0,15348,13718,15363,15366,15435
2020.09.20-15.51.01,17155,15356,17155,0,15375,0,15350,13718,15365,15368,15437
2020.09.20-15.57.30,17155,15357,17155,0,15376,0,15351,13718,15366,15369,15438
2020.09.22-19.56.35,17156,15337,17156,0,15356,0,15331,13718,15346,15349,15418
2020.09.22-20.27.27,17156,15357,17156,0,15376,0,15351,13718,15366,15369,15438
2020.09.24-13.09.06,17175,15357,17175,0,15376,0,15351,13718,15366,15369,15438
2020.09.24-13.19.06,17175,15364,17175,0,15376,0,15351,13718,15366,15369,15438
2020.09.24-13.30.13,17175,15374,17175,0,15393,0,15368,13718,15383,15386,15455
2020.10.12-12.56.09,17224,15375,17224,0,15393,0,15368,13718,15383,15386,15455
2020.10.12-13.34.07,17224,15416,17224,0,15434,0,15413,13718,15424,15431,15500
2020.11.20-17.07.00,17224,15416,17224,0,15434,0,15413,13718,15424,15619,15500
2021.01.21-13.18.57,17409,15416,17409,0,15434,0,15413,13718,15424,15619,15500
2021.01.21-19.38.16,17409,15601,17409,0,15619,0,15598,13718,15609,15804,15685
2021.02.14-15.09.56,17576,15595,17576,0,15613,0,15592,13712,15603,15798,15679
2021.02.14-15.54.14,17576,15772,17576,0,15751,0,15765,13712,15776,15971,15852
2021.02.17-13.09.08,17576,15769,17576,0,15748,0,15762,13712,15773,15968,15849
2021.02.17-13.32.57,17576,15772,17576,0,15751,0,15765,13712,15776,15971,15852
2021.04.29-14.25.40,17703,15770,17703,0,15749,15823,15763,13712,15774,15969,15850
2021.05.03-13.23.13,17726,15821,17726,0,15800,15874,15814,13712,15825,16020,15904
2021.05.03-13.44.59,17726,15846,17726,0,15860,15899,15839,13712,15850,16045,15929
